Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,src/java/main/org/apache/jute/compiler/generated/Rcc.java,3.0,2.0,31.0,10.333333,29.0,6.0,2.0,6.0,205.0,68.333336,151.0,NO
1,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/generated/Token.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/BinaryOutputArchive.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/CsvInputArchive.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/CsvOutputArchive.java,3.0,1.0,4.0,1.3333334,3.0,3.0,1.0,3.0,218.0,72.666664,151.0,NO
1,src/java/main/org/apache/jute/RecordReader.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/RecordWriter.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/XmlOutputArchive.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JBuffer.java,2.0,1.0,7.0,3.5,7.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,3.0,2.0,44.0,14.666667,41.0,39.0,13.0,41.0,34.0,11.333333,25.0,NO
1,src/java/test/org/apache/zookeeper/server/SerializationPerfTest.java,3.0,3.0,29.0,9.666667,25.0,19.0,6.3333335,18.0,199.0,66.333336,151.0,NO
1,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,3.0,1.0,139.0,46.333332,127.0,2.0,0.6666667,2.0,264.0,88.0,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,2.0,1.0,11.0,5.5,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/Election.java,3.0,3.0,21.0,7.0,18.0,18.0,6.0,18.0,182.0,60.666668,151.0,NO
1,src/java/test/org/apache/zookeeper/test/NullDataTest.java,1.0,1.0,72.0,72.0,72.0,0.0,0.0,72.0,1.0,1.0,1.0,YES
1,src/java/test/org/apache/zookeeper/test/DisconnectableZooKeeper.java,1.0,1.0,54.0,54.0,54.0,0.0,0.0,54.0,3.0,3.0,3.0,NO
1,src/java/main/org/apache/jute/compiler/JBoolean.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JByte.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JCompType.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JDouble.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JField.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JFloat.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JInt.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JLong.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JMap.java,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JString.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JType.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/compiler/JVector.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/test/org/apache/zookeeper/test/StatTest.java,2.0,2.0,205.0,102.5,198.0,205.0,102.5,198.0,19.0,9.5,15.0,NO
1,src/java/test/org/apache/zookeeper/test/WatcherFuncTest.java,6.0,4.0,572.0,95.333336,436.0,460.0,76.666664,436.0,290.0,48.333332,151.0,YES
1,src/java/test/org/apache/zookeeper/test/DBSizeTest.java,2.0,1.0,84.0,42.0,66.0,84.0,42.0,66.0,1.0,0.5,1.0,YES
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,4.0,2.0,39.0,9.75,17.0,5.0,1.25,3.0,302.0,75.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,8.0,4.0,435.0,54.375,391.0,6.0,0.75,2.0,386.0,48.25,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,2.0,1.0,11.0,5.5,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,2.0,1.0,12.0,6.0,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/jute/Index.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/InputArchive.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/main/org/apache/jute/XmlInputArchive.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
1,src/java/test/org/apache/zookeeper/test/GenerateLoad.java,5.0,4.0,56.0,11.2,32.0,26.0,5.2,18.0,242.0,48.4,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,5.0,3.0,42.0,8.4,12.0,-13.0,-2.6,2.0,330.0,66.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,4.0,3.0,94.0,23.5,80.0,86.0,21.5,80.0,88.0,22.0,38.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,3.0,1.0,19.0,6.3333335,8.0,4.0,1.3333334,2.0,262.0,87.333336,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,2.0,1.0,11.0,5.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,5.0,3.0,29.0,5.8,10.0,6.0,1.2,5.0,330.0,66.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,2.0,1.0,11.0,5.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,6.0,3.0,72.0,12.0,24.0,-18.0,-3.0,8.0,344.0,57.333332,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,5.0,3.0,169.0,33.8,142.0,137.0,27.4,142.0,102.0,20.4,38.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,2.0,1.0,11.0,5.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
