Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Sensitivity, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, OVER_SAMPLING, 112.0, 69.0, 209.0, 75.0, 0.6187845303867403, 0.5989304812834224, 0.7623494787058054, 0.3525805890201689
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, OVER_SAMPLING, 123.0, 96.0, 182.0, 64.0, 0.5616438356164384, 0.6577540106951871, 0.6562151348439964, 0.30391826653194104
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, OVER_SAMPLING, 122.0, 96.0, 182.0, 65.0, 0.5596330275229358, 0.6524064171122995, 0.7621667371984765, 0.29897090633281215
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, UNDER_SAMPLING, 133.0, 44.0, 234.0, 54.0, 0.751412429378531, 0.7112299465240641, 0.8637710152733428, 0.5578389707166561
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 178.0, 159.0, 119.0, 9.0, 0.5281899109792285, 0.9518716577540107, 0.6899646058554226, 0.3358385336076583
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, UNDER_SAMPLING, 179.0, 151.0, 127.0, 8.0, 0.5424242424242425, 0.9572192513368984, 0.8662139806871081, 0.3679958969098603
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, SMOTE, 181.0, 198.0, 80.0, 6.0, 0.47757255936675463, 0.9679144385026738, 0.8537490862924634, 0.21889924574289385
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, SMOTE, 182.0, 226.0, 52.0, 5.0, 0.44607843137254904, 0.9732620320855615, 0.5801561958988959, 0.134329440777544
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, SMOTE, 182.0, 226.0, 52.0, 5.0, 0.44607843137254904, 0.9732620320855615, 0.8555187935213326, 0.134329440777544
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, NO_COST_SENSITIVE, NO_SAMPLING, 170.0, 155.0, 123.0, 17.0, 0.5230769230769231, 0.9090909090909091, 0.8241064902089024, 0.3136531365313654
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, NO_SAMPLING, 183.0, 188.0, 90.0, 4.0, 0.49326145552560646, 0.9786096256684492, 0.6511753164313469, 0.260412869876404
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, NO_SAMPLING, 183.0, 188.0, 90.0, 4.0, 0.49326145552560646, 0.9786096256684492, 0.8369945754626246, 0.260412869876404
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, NO_COST_SENSITIVE, OVER_SAMPLING, 87.0, 42.0, 236.0, 100.0, 0.6744186046511628, 0.46524064171123, 0.7580887161928211, 0.3309623685330415
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, OVER_SAMPLING, 87.0, 42.0, 236.0, 100.0, 0.6744186046511628, 0.46524064171123, 0.6570807525102912, 0.3309623685330415
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, OVER_SAMPLING, 87.0, 42.0, 236.0, 100.0, 0.6744186046511628, 0.46524064171123, 0.7559823798715039, 0.3309623685330415
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, NO_COST_SENSITIVE, UNDER_SAMPLING, 155.0, 117.0, 161.0, 32.0, 0.5698529411764706, 0.8288770053475936, 0.828809679529104, 0.37976133993393435
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 182.0, 191.0, 87.0, 5.0, 0.4879356568364611, 0.9732620320855615, 0.6431058361866656, 0.2461413753742824
BOOKKEEPER, 2, 0.4397590361445783, 0.5, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, UNDER_SAMPLING, 182.0, 187.0, 91.0, 5.0, 0.4932249322493225, 0.9732620320855615, 0.8339649136305929, 0.259296132211658
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, NO_COST_SENSITIVE, SMOTE, 177.0, 174.0, 104.0, 10.0, 0.5042735042735043, 0.946524064171123, 0.8318681952833455, 0.2803794913201452
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, SMOTE, 184.0, 193.0, 85.0, 3.0, 0.4880636604774536, 0.983957219251337, 0.6448563074673951, 0.24840428163810596
BOOKKEEPER, 2, 0.4397590361445783, 0.3409090909090909, 0.4021505376344086, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, SMOTE, 184.0, 193.0, 85.0, 3.0, 0.4880636604774536, 0.983957219251337, 0.8394086869541799, 0.24840428163810596
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, NO_SAMPLING, 76.0, 1.0, 277.0, 111.0, 0.987012987012987, 0.40641711229946526, 0.878640403185473, 0.44573338157978765
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, NO_SAMPLING, 186.0, 163.0, 115.0, 1.0, 0.5329512893982808, 0.9946524064171123, 0.7041607355826569, 0.3576157824687906
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, NO_SAMPLING, 183.0, 163.0, 115.0, 4.0, 0.5289017341040463, 0.9786096256684492, 0.8384276535990459, 0.3443571060696887
