Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,2.0,2.0,79.0,39.5,77.0,77.0,38.5,77.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,6.0,4.0,785.0,130.83333,703.0,744.0,124.0,703.0,528.0,88.0,206.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheBean.java,1.0,1.0,64.0,64.0,64.0,0.0,0.0,64.0,15.0,15.0,15.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheMXBean.java,1.0,1.0,45.0,45.0,45.0,0.0,0.0,45.0,15.0,15.0,15.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,2.0,2.0,67.0,33.5,63.0,63.0,31.5,63.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,1.0,1.0,37.0,37.0,37.0,0.0,0.0,37.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,2.0,2.0,65.0,32.5,64.0,64.0,32.0,64.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,2.0,2.0,127.0,63.5,124.0,124.0,62.0,124.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,6.0,3.0,188.0,31.333334,159.0,172.0,28.666666,159.0,536.0,89.333336,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,3.0,2.0,43.0,14.333333,36.0,36.0,12.0,36.0,409.0,136.33333,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,2.0,2.0,60.0,30.0,57.0,58.0,29.0,57.0,298.0,149.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,1.0,1.0,62.0,62.0,62.0,0.0,0.0,62.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,5.0,3.0,146.0,29.2,129.0,132.0,26.4,129.0,503.0,100.6,206.0,NO
